Address,Daily Wins,Weekly Wins,VMF Won,Lifetime Toppings,Lifetime Referrals,Referral Code
0x9157feb12812b253e84447c6b52c38651fd67fca,24,3,3222.517940791711153418,30,0,PZDB21706D
0x598986fac0d3ff7eac3d55ffab5e67c2a27c2765,22,3,2864.536829545062161755,30,0,PZ9083B124
0xd68c5493e41f03fac90776ad0366376e245255e8,16,3,2499.500819812271317714,21,0,PZ71A3FCF7
0x257cbe89968495c3ae8c81bccb8be7f257cd5f66,18,5,2486.688479107977760219,21,12,PZ1EDD8604
0x65e3419e633833df1d602e7905cb9c7e541f0849,15,3,2451.4,21,0,PZ2D0F01C1
0xdf13d712d58ef7f7abd4d29b398d503262ba4ac0,15,4,1952.6,23,2,PZBA3767A5
0xc77da8cb158ba77bac765625745a766af3111a69,14,5,1626.651649562915598458,24,0,PZ0B7AC7D1
0xffde42d40175b3b9349dfb384439dcb811691e09,10,3,1440.651649562915598458,18,0,PZ1A4C50E1
0x108608f3f993bfd55fab50d9ef1a5c7e2c47f29b,9,2,1338.98287902056016429,15,0,PZ4513A6D7
0x14e8fddfa4a7c709c19a8c7da5205c3ae366355c,6,1,1103.2705383162666068,9,0,PZ6CD8946F
0x1b49689db12080f5fcc5dc36f990599739487566,7,2,1062.8,17,0,PZ275E7B20
0x802f18765d6945b82075241e40b6214331ca3641,2,1,461.58287902056016429,3,0,PZA94CBE2E
0x46e9beef5dc68dff095eca56dadf90247f1af7ef,2,1,437.58287902056016429,9,0,PZ3DC80485
0x86e36c9ba3c6a2542fd761bc2b4fd61a110ea6cd,3,0,300.851649562915598461,5,0,PZC3D76C1B
0x944fa0f3f2168d4b27110f7f97972ad9425c4f52,2,0,220.887659295706442505,3,0,PZ87980F93
0xe915da3b1d1f730dbfc7bf6d31f654e994fa8c6d,2,0,215.471891316213150883,2,0,PZ8175153F
0x442c463eb4778c1a576d5b80927b429756723014,1,0,132.78287902056016429,1,0,PZ64151483
0xc143cf8515b87ea88d8db8a9892639b5046cf81c,1,0,132.153950524501997465,2,0,PZE04E9C18
0xf0f950dff685f166f2531fbcf97cebea000ef3b8,1,0,132.153950524501997465,1,0,PZ3149E573
0x293f2bb46d15d6a496300a03e68eba21e17a0213,1,0,132.153950524501997465,1,0,PZE98B2011
0x8f6ee583447d75e3b070d9c35db6f685aa9cc319,1,0,88.73370877120444504,2,0,PZ5CC22435
0xb1faddeca6cbccd536355a4efe0e2d5517a1f04f,1,0,88.73370877120444504,1,0,PZ07F110E9
0x2216b7755f4bd2909756c41ddfe8f7c620ff2cea,1,0,83.317940791711153418,1,0,PZE4018A05
0xdc9abd58dd59f7c7d5e74555a5f8b1dede42f0b7,0,0,0.0,3,0,PZ46274169
0x13fff11296483bfbbfa8df3007e1ffe082fedc96,0,0,0.0,1,0,PZ2B05C532
